time,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m,pm10,pm25
2020-01-01 00:00:00+00:00,-0.7,56,954.0,3.3,69.71,23.0
2020-01-01 01:00:00+00:00,-1.2,67,954.6,4.7,34.61,24.0
2020-01-01 02:00:00+00:00,-1.4,68,955.1,6.6,21.61,51.2026
2020-01-01 03:00:00+00:00,-2.1,74,955.3,5.4,120.91,65.5
2020-01-01 04:00:00+00:00,-3.4,84,955.0,5.1,181.07,69.9598
2020-01-01 05:00:00+00:00,-3.5,85,955.3,4.7,99.15,-9999.0
2020-01-01 06:00:00+00:00,-3.5,88,956.0,6.6,35.0,138.85
2020-01-01 07:00:00+00:00,-3.5,90,956.7,5.4,32.59,76.0848
2020-01-01 08:00:00+00:00,-2.0,86,957.8,5.2,108.11,28.0
2020-01-01 09:00:00+00:00,-0.1,76,958.6,2.3,86.0,14.66
2020-01-01 10:00:00+00:00,1.3,66,959.2,8.0,39.0,7.0
2020-01-01 11:00:00+00:00,2.8,56,959.0,12.5,-998.0,43.4018
2020-01-01 12:00:00+00:00,3.2,56,958.2,13.2,4.0,22.42
2020-01-01 13:00:00+00:00,3.3,54,958.0,15.5,10.7,19.0
2020-01-01 14:00:00+00:00,2.8,56,957.7,15.9,44.11,9.0
2020-01-01 15:00:00+00:00,1.9,59,958.1,15.4,23.0,15.0
2020-01-01 16:00:00+00:00,0.3,69,958.5,13.0,40.0,35.0
2020-01-01 17:00:00+00:00,-0.7,76,958.7,10.4,44.11,40.5696
2020-01-01 18:00:00+00:00,-1.8,84,959.0,7.2,22.0,-998.0
2020-01-01 19:00:00+00:00,-2.2,88,959.6,7.6,31.31,32.3376
2020-01-01 20:00:00+00:00,-2.2,88,959.7,8.4,38.99,43.7
2020-01-01 21:00:00+00:00,-2.1,88,960.2,9.8,41.0,36.1008
2020-01-01 22:00:00+00:00,-2.2,90,960.2,8.2,10.87,10.0
2020-01-01 23:00:00+00:00,-2.4,92,960.4,5.4,36.43,38.2764
2020-01-02 00:00:00+00:00,-2.5,92,960.3,3.2,24.91,13.0
2020-01-02 01:00:00+00:00,-2.0,86,960.4,2.0,43.0,-9999.0
2020-01-02 02:00:00+00:00,-1.9,85,960.8,2.2,21.47,12.9728
2020-01-02 03:00:00+00:00,-2.0,85,960.5,2.2,18.9,5.0
2020-01-02 04:00:00+00:00,-2.1,85,960.3,1.6,17.6,27.0
2020-01-02 05:00:00+00:00,-3.0,89,960.2,4.2,17.23,9.5526
2020-01-02 06:00:00+00:00,-3.3,90,960.4,3.9,27.47,48.0
2020-01-02 07:00:00+00:00,-3.3,89,960.7,4.4,17.23,4.0
2020-01-02 08:00:00+00:00,-2.0,83,961.2,5.0,10.83,16.0
2020-01-02 09:00:00+00:00,-0.6,74,961.5,3.8,25.0,14.9524
2020-01-02 10:00:00+00:00,0.6,65,961.9,6.3,19.79,21.097
2020-01-02 11:00:00+00:00,1.9,58,961.1,7.1,17.23,11.21
2020-01-02 12:00:00+00:00,3.0,52,960.3,8.0,-998.0,39.0
